RANK,SX,CAT,LOC,Category,COLLEGE,PHASE
120177,F,OBC,OTHERS,B1,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
120215,M,OC,OTHERS,B1,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
135288,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
173904,M,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
179386,F,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
202288,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
204437,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
207367,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
208417,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
210869,M,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
215251,M,BC-A,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
215313,F,SC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
217314,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
219443,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
219764,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
219766,F,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
220289,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
224130,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
227080,M,BC-D,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
228544,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
229853,M,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
231524,M,BC-D,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
233012,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
234364,F,BC-D,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
235839,F,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
236018,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
237305,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
240617,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
240663,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
240687,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
240703,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
240986,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
242775,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
243849,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
244290,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
244400,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
245073,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
245191,F,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
246953,F,BC-B,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
246983,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
247479,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
248970,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
249360,F,SC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
250915,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
251035,M,SC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
251582,M,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
253921,F,OC,AP,B2,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
306648,M,BC-B,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
319907,F,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
386401,M,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
396338,F,BC-D,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
501975,M,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
515003,M,BC-D,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
583778,F,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
584373,F,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
619338,M,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
641233,F,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
700259,M,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
778428,F,OC,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
958725,F,BC-A,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
1028777,F,BC-A,AP,NRI,"Konaseema Institute of Medical Sciences and Research Foundation , Amalapuram",P1
71096,F,OC,AP,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
86536,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
96939,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
111126,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
113053,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
114443,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
123606,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
129394,F,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
133280,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
133430,M,OC,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
133909,M,M,OTHERS,B1,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
181829,M,SC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
184445,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
197185,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
204222,F,BC-A,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
206303,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
216781,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
225973,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
230356,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
235598,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
236592,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
238063,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
241542,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
245079,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
248974,M,BC-C,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
253368,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
256459,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
256546,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
256874,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
258230,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
258635,M,SC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
259584,F,BC-E,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
259806,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
260136,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
260673,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
267092,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
271762,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
275662,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
275893,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
276966,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
276986,F,BC-E,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
277380,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
278207,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
278705,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
282057,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
282557,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
282561,F,BC-A,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
282945,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
283236,M,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
283768,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
283856,M,OC,OTHERS,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
284014,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
285253,M,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
287591,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
291538,F,SC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
292179,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
292459,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
292549,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
293755,F,SC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
295030,M,BC-E,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
295541,F,BC-D,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
295547,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
295684,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
298060,F,SC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
298576,M,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
301345,F,BC-B,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
302805,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
303313,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
303397,F,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
303624,M,BC-E,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
304590,M,OC,AP,B2,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
327199,M,SC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
404535,F,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
426110,F,OC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
427298,M,OC,OTHERS,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
502007,M,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
507573,M,OC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
536267,F,BC-A,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
581557,F,BC-B,OTHERS,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
643929,M,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
691584,M,OC,OTHERS,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
723778,F,SC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
792840,M,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
812178,M,OC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
861672,F,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
925666,F,OC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
937079,F,BC-A,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
942555,F,BC-D,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
948093,F,SC,AP,NRI,"Maharaja Institute of Medical Sciences, Vizianagaram",P1
68788,F,OC,OTHERS,B1,"Narayana Medical College, Nellore",P1
70883,F,OC,AP,B1,"Narayana Medical College, Nellore",P1
72408,M,OC,AP,B1,"Narayana Medical College, Nellore",P1
72964,M,OC,AP,B1,"Narayana Medical College, Nellore",P1
76915,M,BC-B,AP,B1,"Narayana Medical College, Nellore",P1
77341,M,OC,AP,B1,"Narayana Medical College, Nellore",P1
79472,F,OC,AP,B1,"Narayana Medical College, Nellore",P1
79637,F,OC,OTHERS,B1,"Narayana Medical College, Nellore",P1
80784,M,OC,OTHERS,B1,"Narayana Medical College, Nellore",P1
82621,F,OC,OTHERS,B1,"Narayana Medical College, Nellore",P1
83944,F,OC,AP,B1,"Narayana Medical College, Nellore",P1
85783,F,OC,AP,B1,"Narayana Medical College, Nellore",P1
87338,F,OC,OTHERS,B1,"Narayana Medical College, Nellore",P1
88001,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
91220,F,BC-D,AP,B2,"Narayana Medical College, Nellore",P1
91381,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
92976,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
93837,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
97695,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
98739,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
100531,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
101724,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
104849,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
106949,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
110247,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
110398,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
112465,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
113108,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
117240,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
120809,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
121521,F,BC-D,AP,B2,"Narayana Medical College, Nellore",P1
122655,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
123095,F,BC-A,AP,B2,"Narayana Medical College, Nellore",P1
123798,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
124798,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
125725,M,BC-A,AP,B2,"Narayana Medical College, Nellore",P1
126088,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
128038,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
128323,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
130023,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
131216,M,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
134393,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
135455,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
136481,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
139947,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
140758,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
141159,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
143050,M,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
144232,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
149719,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
152337,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
154479,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
154665,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
154752,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
154958,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
155659,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
155703,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
156246,M,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
156606,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
156919,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
156962,F,BC-D,AP,B2,"Narayana Medical College, Nellore",P1
158436,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
159288,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
159629,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
159753,F,BC-D,AP,B2,"Narayana Medical College, Nellore",P1
159862,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
160482,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
160513,F,BC-D,AP,B2,"Narayana Medical College, Nellore",P1
160839,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
163210,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
164031,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
164684,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
164876,F,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
166351,F,BC-E,AP,B2,"Narayana Medical College, Nellore",P1
166355,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
166600,M,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
167848,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
168860,M,BC-E,AP,B2,"Narayana Medical College, Nellore",P1
169045,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
170147,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
170684,F,BC-E,AP,B2,"Narayana Medical College, Nellore",P1
170808,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
171583,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
174117,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
174125,F,OC,AP,B2,"Narayana Medical College, Nellore",P1
175284,M,BC-B,AP,B2,"Narayana Medical College, Nellore",P1
175496,M,OC,AP,B2,"Narayana Medical College, Nellore",P1
204197,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
315076,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
364653,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
380996,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
392306,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
426244,F,BC-E,AP,NRI,"Narayana Medical College, Nellore",P1
429079,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
438142,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
499476,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
500302,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
530326,M,OC,OTHERS,NRI,"Narayana Medical College, Nellore",P1
539002,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
556237,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
561927,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
577682,F,BC-E,OTHERS,NRI,"Narayana Medical College, Nellore",P1
591455,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
591545,M,SC,AP,NRI,"Narayana Medical College, Nellore",P1
599476,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
609512,F,OC,OTHERS,NRI,"Narayana Medical College, Nellore",P1
621015,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
644613,F,OC,OTHERS,NRI,"Narayana Medical College, Nellore",P1
647567,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
668322,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
669766,M,BC-E,AP,NRI,"Narayana Medical College, Nellore",P1
678169,F,BC-A,OTHERS,NRI,"Narayana Medical College, Nellore",P1
682148,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
703488,F,ST,AP,NRI,"Narayana Medical College, Nellore",P1
742038,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
758680,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
779122,M,BC-B,OTHERS,NRI,"Narayana Medical College, Nellore",P1
858713,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
914967,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
942807,M,OC,AP,NRI,"Narayana Medical College, Nellore",P1
963378,F,OC,AP,NRI,"Narayana Medical College, Nellore",P1
988356,M,OC,OTHERS,NRI,"Narayana Medical College, Nellore",P1
1015950,M,BC-B,AP,NRI,"Narayana Medical College, Nellore",P1
1117779,M,BC-D,AP,NRI,"Narayana Medical College, Nellore",P1
115687,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
139109,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
157012,F,BC-E,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
160457,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
162576,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
166741,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
169170,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
169710,M,V,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
174580,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
181236,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
185397,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
186892,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
187960,M,M,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
188501,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
189744,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
192602,F,BC-E,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
194787,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
201480,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
203277,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
204384,F,BC-E,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
207039,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
211484,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
212017,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
220615,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
223794,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
225214,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
226353,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
226853,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
232412,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
234789,F,BC-B,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
237934,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
245934,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
251731,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
255715,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
256457,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
256566,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
258639,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
258689,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
261272,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
261965,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
265958,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
270188,M,BC-E,AP,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
272567,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
281573,F,OC,AP,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
283889,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
286082,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
286805,M,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
286976,F,BC-E,AP,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
287184,F,OC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
288452,F,BC-E,AP,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
290366,M,BC-B,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
292592,F,OBC,OTHERS,B1,"Nimra Institute of Medical Sciences, Vijayawada",P1
735899,F,BC-E,AP,NRI,"Nimra Institute of Medical Sciences, Vijayawada",P1
796118,M,BC-A,OTHERS,NRI,"Nimra Institute of Medical Sciences, Vijayawada",P1
958185,M,BC-E,AP,NRI,"Nimra Institute of Medical Sciences, Vijayawada",P1
1166104,M,BC-B,AP,NRI,"Nimra Institute of Medical Sciences, Vijayawada",P1
65348,M,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
65582,F,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
69577,M,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
86618,F,BC-D,AP,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
93155,F,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
93260,F,OC,AP,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
101783,F,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
103591,M,OC,OTHERS,B1,"NRI Institute of Medical Sciences, Visakhapatnam",P1
115735,F,BC-D,AP,B2,"NRI Institute of Medical Sciences, Visakhapatnam",P1
