COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,PHASE,Category
"CMR INSTITUTE OF MEDICAL SCIENCES, KANDALKOYA, MEDCHAL",917568,OU,SC,M,NO,NRI,NO,P1,C
"CMR INSTITUTE OF MEDICAL SCIENCES, KANDALKOYA, MEDCHAL",947208,OU,OC,F,NO,NRI,NO,P1,C
"CMR INSTITUTE OF MEDICAL SCIENCES, KANDALKOYA, MEDCHAL",948581,OU,BCA,F,NO,NRI,NO,P1,C
"CMR INSTITUTE OF MEDICAL SCIENCES, KANDALKOYA, MEDCHAL",1061343,OU,BCB,M,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",128600,NL,BCD,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",136481,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",141748,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",141992,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",145756,AU,BCD,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",146710,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",147188,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",149260,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",152483,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",152704,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",157288,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",157379,SVU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",158656,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",160312,NL,OC,M,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",162902,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",162974,AU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",163727,AU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",166503,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",168297,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",169079,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",169181,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",170808,SVU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",170866,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",171401,NL,BCE,M,MSM,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",172670,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",172874,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",173836,NL,OC,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",174117,SVU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",176380,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",176611,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",180286,AU,BCC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",183783,NL,OC,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",184082,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",184664,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",185397,NL,OC,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",185665,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",186867,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",187815,SVU,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",188642,AU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",189264,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",189664,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",190566,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",191302,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",192019,AU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",194188,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",194505,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",196557,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",197185,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",199920,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",200660,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",200846,NL,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",202678,AU,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",204264,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",204914,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",205500,SVU,BCA,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",210020,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",210587,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",210869,AU,BCB,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",211697,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",212030,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",212851,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",212857,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",213631,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",214881,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",215333,NL,OC,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",217949,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",218136,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",219386,NL,OC,M,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",220621,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",220673,SVU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",221825,NL,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",225090,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",226334,SVU,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",227499,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",231281,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",232074,NL,BCD,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",232938,NL,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",232980,NL,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",233079,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",234453,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",234479,NL,BCB,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",235767,AU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",237459,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",238958,NL,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",239030,AU,BCC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",239737,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",239889,NL,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",240703,SVU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",240986,AU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",242081,NL,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",290651,OU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",341929,OU,BCB,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",422623,OU,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",426560,OU,OC,F,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",430590,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",440602,OU,BCB,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",458114,OU,ST,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",463218,OU,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",475735,OU,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",480602,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",480700,OU,BCC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",483601,OU,BCD,M,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",483756,OU,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",485947,OU,BCA,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",486089,OU,BCD,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",488741,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",492836,OU,BCB,M,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",499632,OU,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",500528,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",502225,OU,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",508646,OU,BCC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",511243,OU,BCE,F,MSM,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",514688,OU,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",516520,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",517504,OU,BCB,F,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",518547,OU,BCB,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",518978,OU,BCD,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",519401,OU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",521003,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",522213,OU,BCA,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",528329,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",529758,OU,SC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",531078,OU,OC,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",531183,OU,BCB,M,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",534329,OU,OC,M,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",538736,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",539311,OU,OC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",539828,OU,SC,F,NO,NO,NO,P1,B
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",648768,NL,OC,M,NO,NRI,NO,P1,C
"NEELIMA INSTITUTE OF MEDICAL SCIENCES, GHATKESAR",895821,OU,OC,M,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",139069,NL,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",139229,NL,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",139300,NL,OC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",139840,NL,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",140069,NL,OC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",140708,NL,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",141295,NL,BCD,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",141317,NL,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",170448,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",312592,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",407720,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",429527,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",440711,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",443605,OU,BCE,F,MSM,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",446275,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",448447,OU,SC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",452881,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",453380,OU,BCD,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",453694,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",455425,OU,SC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",458162,OU,SC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",466369,OU,BCC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",478772,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",480724,OU,OC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",485064,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",491669,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",493012,OU,BCD,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",502048,OU,OC,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",504688,OU,OC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",506448,OU,BCE,F,MSM,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",507840,OU,BCE,M,MSM,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",508549,OU,BCD,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",510795,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",511898,OU,BCB,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",514038,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",516722,OU,ST,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",517061,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",517330,OU,BCB,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",520540,OU,OC,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",521499,OU,BCD,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",521721,OU,ST,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",522356,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",524302,OU,ST,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",524816,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",527501,OU,BCB,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",527796,OU,BCD,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",529929,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",530088,OU,BCB,M,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",530207,OU,OC,F,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",530326,OU,OC,M,NO,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",530473,OU,BCB,F,NO,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",530489,OU,BCB,M,MSM,NO,NO,P1,B
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",614772,OU,OC,F,MSM,NRI,NO,P1,C
"FATHER COLOMBO INSTITUTE OF MEDICAL SCIENCES, WARANGAL",918060,OU,OC,F,NO,NRI,NO,P1,C
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",106570,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",106954,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",109906,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",112397,NL,OC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",126312,NL,OC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",128366,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",129521,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",129952,NL,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",231619,OU,OC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",276991,OU,BCA,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",285764,OU,BCE,F,MSM,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",301177,OU,BCD,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",303702,OU,BCB,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",313104,OU,OC,F,NO,NRI,NO,P1,C
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",322206,OU,BCB,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",325885,OU,BCB,F,NO,NRI,NO,P1,C
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",345342,OU,BCB,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",345790,OU,BCD,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",361445,OU,OC,F,MSM,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",363699,OU,OC,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",371924,OU,BCD,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",372247,OU,SC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",376295,OU,BCB,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",380685,OU,OC,F,MSM,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",390689,OU,OC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",392038,OU,ST,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",394148,OU,BCA,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",394232,OU,BCB,M,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",400730,OU,OC,F,NO,NO,NO,P1,B
"ARUNDATHI INSTITUTE OF MEDICAL SCIENCES, DUNDIGAL",400985,OU,OC,F,NO,NO,NO,P1,B
